y,n,p,m,log_n,r_2y_minus_log_n,K_center,K_tail_low,K_tail_high,term_center,term_tail_low,term_tail_high
1.25000000000000000000E+0,32,2,5,3.465735902799726547086160607291E+0,-9.657359027997265470861606072909E-1,3.070305995733097422020916872191E-14,3.048761881560679239039988371075E-14,3.091990517080770669304346841441E-14,3.762115569072094068189261006937E-15,3.735717077370432738112049273844E-15,3.788686104869936888606695141805E-15
1.50000000000000000000E+0,8,2,3,2.079441541679835928251696364375E+0,9.205584583201640717483036356255E-1,5.204006622623698395348066886496E-9,5.191220664664567289435012591107E-9,5.216820915326455777686975437196E-9,1.275317467622782766376714028917E-9,1.272184082769911578258966575678E-9,1.278457796316449642239403130830E-9
1.50000000000000000000E+0,9,3,2,2.197224577336219382790490473845E+0,8.027754226637806172095095261549E-1,1.256238182822321868166907415872E-4,1.255331150297220905588392164203E-4,1.257145772440385723336451679125E-4,4.600395683808994099012085504930E-5,4.597074093548002155179366590209E-5,4.603719314167235923937258244063E-5
1.50000000000000000000E+0,11,11,1,2.397895272798370544061943577965E+0,6.021047272016294559380564220349E-1,3.147296328245708207226377435865E-2,3.146532993119768887624668002366E-2,3.148059804022805330366407070729E-2,2.275472043006513867839613942564E-2,2.274920157337874605444101710717E-2,2.276024030364903321899605165892E-2
1.50000000000000000000E+0,13,13,1,2.564949357461536736053487441565E+0,4.350506425384632639465125584347E-1,2.149464656453729910816968832072E-1,2.149200129681079783433278149221E-1,2.149729203542823481055326816083E-1,1.529105417797113090534313021928E-1,1.528917236372497792537801297976E-1,1.529293613674621877876012965326E-1
1.50000000000000000000E+0,16,2,4,2.772588722239781237668928485833E+0,2.274112777602187623310715141673E-1,6.702853327775100370623040176636E-1,6.702497402709378903815300526831E-1,6.703209259854496713614002717276E-1,1.161515971463539444178416928692E-1,1.161454294349590582189841154730E-1,1.161577649792865547614623817351E-1
1.50000000000000000000E+0,17,17,1,2.833213344056216080249534617873E+0,1.667866559437839197504653821269E-1,8.048408852730157477146358599740E-1,8.048094092097225643062527803976E-1,8.048723612848100448671065168674E-1,5.530505747487196079929476163683E-1,5.530289458091196805874873145059E-1,5.530722036529318094964243283426E-1
1.50000000000000000000E+0,19,19,1,2.944438979166440460009027431888E+0,5.556102083355953999097256811215E-2,9.757002136461632858909607041107E-1,9.756870774219122452600658330760E-1,9.757133483084440295512792402177E-1,6.590861082700802723743730511715E-1,6.590772347423328230955613014761E-1,6.590949807427158031913773869386E-1
1.50000000000000000000E+0,23,23,1,3.135494215929149690806752831810E+0,-1.354942159291496908067528318102E-1,8.657390436022225169027731914389E-1,8.657113188089180759390906866514E-1,8.657667678986131394098119803527E-1,5.660164979781751619695923696098E-1,5.659983716264421347970785708747E-1,5.660346240050280518786859677900E-1
1.50000000000000000000E+0,25,5,2,3.218875824868200749201518666452E+0,-2.188758248682007492015186664524E-1,6.901024955454690549715436652022E-1,6.900672455717782445383001424752E-1,6.901377461262603145038336920183E-1,2.221354239592525537446442843580E-1,2.221240774304384947638340606929E-1,2.221467706834847086126093518444E-1
1.50000000000000000000E+0,27,3,3,3.295836866004329074185735710768E+0,-2.958368660043290741857357107676E-1,5.084186564351761229769750400512E-1,5.083827292187768812406373629117E-1,5.084545849519089955947911203467E-1,1.074939567413358566397011472120E-1,1.074863607206222676077890979633E-1,1.075015530369764281850876203787E-1
1.50000000000000000000E+0,29,29,1,3.367295829986474027183272032362E+0,-3.672958299864740271832720323619E-1,3.468142780153379268038944173856E-1,3.467817518643895469316164764035E-1,3.468468058874048231012580537958E-1,2.168598945372348279254526235558E-1,2.168395562232970843008626744624E-1,2.168802339273727271316402646847E-1
1.50000000000000000000E+0,31,31,1,3.433987204485146245929164324542E+0,-4.339872044851462459291643245424E-1,2.167940574267590455386374143225E-1,2.167674913047881127300974493183E-1,2.168206255767826247873128053269E-1,1.337104034398296948977059772139E-1,1.336940184571012582512782732452E-1,1.337267896733845645718771733020E-1
1.50000000000000000000E+0,32,2,5,3.465735902799726547086160607291E+0,-4.657359027997265470861606072909E-1,1.651708627730757813460385657613E-1,1.651478684086124430372285882811E-1,1.651938592395918011403262235613E-1,2.023876041212917996572858703593E-2,2.023594286050179607234491551492E-2,2.024157822132584623736672269731E-2
1.50000000000000000000E+0,37,37,1,3.610917912644224444368095671031E+0,-6.109179126442244443680956710314E-1,2.728436607737334635989621548745E-2,2.727748956495715168666046226553E-2,2.729124391327958661931413736373E-2,1.619685228762327330349882459800E-2,1.619277017497519983095244335965E-2,1.620093518593639436079212930122E-2
